"Time","Position","Velocity","Acceleration"
0.05,0.213,0.397,-3.051
0.10,0.240,0.239,-2.762
0.15,0.243,0.083,-2.076
0.20,0.243,0.016,-1.144
0.25,0.243,-0.018,-0.419
0.30,0.239,-0.009,-0.050
0.35,0.243,-0.007,-0.029
0.40,0.239,-0.017,0.046
0.45,0.240,-0.006,0.148
0.50,0.239,0.002,0.175
0.55,0.239,0.020,0.048
0.60,0.243,0.008,-0.124
0.65,0.240,0.000,-0.143
0.70,0.243,-0.007,-0.125
0.75,0.239,-0.018,-0.008
0.80,0.239,-0.006,0.074
0.85,0.239,-0.004,0.030
0.90,0.239,-0.003,-0.012
0.95,0.239,-0.006,-0.042
1.00,0.239,-0.013,-0.094
1.05,0.236,0.001,-0.589
1.10,0.239,-0.004,-2.184
1.15,0.248,-0.233,-3.261
1.20,0.216,-0.462,-1.767
1.25,0.191,-0.481,1.287
1.30,0.160,-0.321,4.298
1.35,0.153,0.000,5.997
1.40,0.158,0.346,5.796
1.45,0.182,0.750,2.326
1.50,0.261,0.637,-2.180
1.55,0.254,0.334,-3.164
1.60,0.280,0.251,-2.524
1.65,0.284,0.105,-1.868
1.70,0.287,0.050,-0.971
1.75,0.287,0.020,-0.379
1.80,0.287,0.027,-0.086
1.85,0.291,0.026,-0.105
1.90,0.291,0.012,-0.079
1.95,0.291,0.010,0.042
2.00,0.291,0.025,0.013
2.05,0.295,0.024,-0.240
2.10,0.295,-0.002,-0.435
2.15,0.294,-0.032,-0.373
2.20,0.291,-0.052,-0.068
2.25,0.288,-0.038,0.232
2.30,0.287,-0.015,0.280
2.35,0.287,-0.003,0.175
2.40,0.287,0.000,0.083
2.45,0.287,0.003,0.018
2.50,0.287,0.002,-0.027
2.55,0.287,-0.001,-0.045
2.60,0.287,-0.002,-0.059
2.65,0.287,-0.007,-0.050
2.70,0.287,-0.015,0.085
2.75,0.284,0.002,0.205
2.80,0.287,0.020,0.074
2.85,0.288,0.009,-0.073
2.90,0.287,0.004,-0.075
2.95,0.288,0.000,-0.017
3.00,0.287,0.000,0.082
3.05,0.287,0.008,0.170
3.10,0.288,0.024,0.134
3.15,0.291,0.026,0.002
3.20,0.291,0.017,-0.031
3.25,0.291,0.026,-0.111
3.30,0.295,0.016,-0.334
3.35,0.294,-0.020,-0.326
3.40,0.291,-0.029,-0.074
3.45,0.291,-0.027,0.175
3.50,0.287,-0.004,0.247
3.55,0.291,0.014,0.025
3.60,0.291,-0.003,-0.163
3.65,0.290,-0.019,-0.074
3.70,0.288,-0.015,0.103
3.75,0.288,0.007,0.019
3.80,0.290,-0.006,-0.197
3.85,0.288,-0.025,-0.186
3.90,0.287,-0.032,-0.019
3.95,0.284,-0.028,0.171
4.00,0.284,-0.009,0.244
4.05,0.284,0.002,0.204
4.10,0.284,0.009,0.169
4.15,0.284,0.022,0.064
4.20,0.287,0.021,-0.132
4.25,0.287,0.004,-0.240
4.30,0.287,-0.006,-0.265
4.35,0.287,-0.026,-0.188
4.40,0.284,-0.031,0.022
4.45,0.283,-0.026,0.265
4.50,0.280,-0.001,0.413
4.55,0.283,0.028,0.292
4.60,0.284,0.037,-0.008
4.65,0.287,0.026,-0.284
4.70,0.287,-0.002,-0.342
4.75,0.287,-0.022,-0.139
4.80,0.284,-0.019,0.118
4.85,0.284,0.008,0.068
4.90,0.287,-0.005,-0.123
4.95,0.284,-0.019,-0.089
5.00,0.283,-0.014,0.003
